Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Євдокименко,Анжела,Вʼячеславівна,жінка,1974-05-01,Історик,село Рудки,"парк Новгородський, буд. 3, Андрушівка, 43192",002 221 24 98,antonkovalenko@example.com
Корсун,Олена,Валеріївна,жінка,1958-01-21,Актор,село Чуднів,"проспект Ванний, буд. 28, Шаргород, 56487",+380 27 616 49 59,snizhana29@example.com
Овсієнко,Христина,Ааронівна,жінка,1954-08-06,Скульптор,місто Бердичів,"набережна Академіка Заболотного, буд. 74, Соснівка , 33819",445 53 51,hlibturkalo@example.net
Єфименко,Єфрем,Андрійович,чоловік,1957-06-09,Штукатур,село Жидачів,"узвіз Миколаївський 1-й, буд. 513 кв. 17, Рівне, 80137",449-72-04,dashkevychdan@example.com
Бевз,Єлисавета,Гаврилівна,жінка,1992-04-08,Ґрунтознавець,хутір Каховка,"сквер Радісна, буд. 878, Лебедин, 51982",+380 (80) 096-97-88,yhaida@example.com
Твердохліб,Демʼян,Амвросійович,чоловік,2002-04-18,Паблік рилейшнз,хутір Татарбунари,"площа Щоголєва, буд. 1, Христинівка, 38207",+380 81 810-87-81,iaroslava98@example.com
Штокало,Вікторія,Костянтинівна,жінка,1961-12-22,Агроном,село Хрустальний,"набережна Вірського, буд. 493 кв. 42, Тисмениця, 54531",+380 80 988-28-21,ebairak@example.com
Кабаненко,Нестор,Захарович,чоловік,1996-02-20,Інженер,місто Рівне,"парк Деревообробний 1-й, буд. 294 кв. 2, Старий Крим, 75436",+380 23 333 13 15,kanivetsbohodar@example.com
Батюк,Пармен,Богданович,чоловік,1996-02-10,Бібліотекар,хутір Червоноград,"шосе Гімназична, буд. 601, Олександрія, 67449",093 081 15 27,lemeshkomaksym@example.com
Бабійчук,Ігнат,Аврелійович,чоловік,1947-10-14,Художник,хутір Коростишів,"парк Лінія 37-ма, буд. 81 кв. 020, Новомиргород, 05115",+380 31 795-53-22,milenaabramenko@example.org
Калениченко,Роман,Степанович,чоловік,1970-11-27,Професор,село Тульчин,"проспект 14-та Суворовська, буд. 4, Теплодар, 35083",767-02-77,prokhirskorobohatko@example.org
Непорожній,Августин,Валентинович,чоловік,1976-04-05,Петрограф,місто Привілля,"проспект Воронезька, буд. 953 кв. 948, Перемишляни, 18287",646 99 31,sychtaras@example.com
Ґереґа,Антон,Охрімович,чоловік,1958-01-11,Доцент,селище Єнакієве,"сквер Змієнка Всеволода, буд. 3, Харцизьк, 63294",085 949-50-93,priskasirobaba@example.org
Макогон,Марта,Демʼянівна,жінка,1969-09-17,Модельєр,село Броди,"узвіз Щоголєва, буд. 305, Коростишів, 57020",253-90-78,tvernyhora@example.com
Ґерета,Амвросій,Арсенович,чоловік,1982-07-10,Клавішник,селище Збараж,"узвіз Стеценко, буд. 578, Інкерман, 78820",073 458-31-23,zcharnysh@example.org
Вертипорох,Богданна,Прохорівна,жінка,1969-03-17,Адвокат,місто Сарни,"узвіз 7-ма Суворовська, буд. 91 кв. 3, Герца, 98164",+380 (26) 804-33-34,adamchukparmen@example.org
Свириденко,Богодар,Леонтійович,чоловік,1996-03-11,Детектив,селище Малин,"шосе Рощева, буд. 59 кв. 7, Мелітополь, 75216",345-91-11,wtryhub@example.org
Бабʼюк,Пилип,Орхипович,чоловік,1992-11-27,Парфюмер,село Інкерман,"набережна Моторна, буд. 746, Калуш, 64262",+380 86 719 08 50,kyrylohunko@example.net
Кащенко,Богданна,Пилипівна,жінка,1984-08-08,Астроном,місто Іловайськ,"площа Танфільєва, буд. 21, Білозерське, 66284",+380 04 101-40-15,dzhuspylyp@example.com
Данченко,Олекса,Михайлович,чоловік,1988-02-21,Гінеколог,селище Богодухів,"площа Дача Ковалевського, буд. 529, Переяслав, 59336",683 27 83,vadym28@example.com
Баран,Макар,Прохорович,чоловік,1953-10-14,Машиніст,селище Зміїв,"узвіз Чорноморський 4-й, буд. 65 кв. 410, Нова Одеса, 50530",068 065 55 20,dmytroishchak@example.com
Андрощук,Ірена,Вікторівна,жінка,1942-06-16,Бізнесмен,селище Стебник,"проспект Керченська, буд. 713, Луганськ, 47734",174 43 23,prykhodkovadym@example.org
Теличенко,Леонтій,Мирославович,чоловік,1944-11-18,Юрист,хутір Синельникове,"набережна Станційна 2-га, буд. 7 кв. 586, Зоринськ, 49562",+380 (77) 676-14-60,ruslanprykhodko@example.com
Заруба,Амвросій,Святославович,чоловік,1990-08-12,Гінеколог,селище Дніпрорудне,"площа Агрономічна, буд. 5, Зіньків, 77128",042 993-82-97,demianholyk@example.org
Безбородько,Святослава,Феофанівна,жінка,1958-02-28,Художник,селище Нетішин,"узвіз Лінія 49-та, буд. 35 кв. 2, Ізюм, 68233",044 199-51-82,musyk@example.com
Давиденко,Михайлина,Ігнатівна,жінка,1955-05-30,Кінокритик,селище Євпаторія,"провулок Леваневського, буд. 20 кв. 682, Остер , 34845",067 934-09-95,iukhymbarabash@example.org
Гайда,Аліна,Андріївна,жінка,1982-03-03,Агроном,хутір Горішні Плавні,"узвіз Університетський, буд. 017, Новодністровськ, 10711",+380 81 547-78-58,zinchukmykolai@example.com
Матяш,Соломон,Орестович,чоловік,1960-11-26,Різноробочий,хутір Почаїв,"парк Студентський 5-й, буд. 875, Золочів, 54202",+380 17 460-34-65,civanchenko@example.org
Шовкопляс,Єфрем,Антонович,чоловік,1989-02-28,Модельєр,місто Монастирище,"провулок Чорноморський 8-й, буд. 968, Алмазна, 65488",+380 61 408-45-25,htymchuk@example.net
Кабаненко,Анастасія,Леонтіївна,жінка,1998-06-07,Ботанік,селище Дубляни,"площа Нечипуренка, буд. 671 кв. 3, Люботин, 11306",+380 01 805 04 38,malykbohdan@example.org
Дерегус,Онисим,Леонідович,чоловік,1960-12-07,Хімік,місто Зимогір'я,"набережна ім. С.Ю. Вітте, буд. 253, Заставна, 26012",747-86-48,hcherinko@example.com
Христенко,Лариса,Богодарівна,жінка,1996-01-31,Стиліст,місто Чуднів,"проспект Андрійця Олега, буд. 603, Підгайці, 29483",+380 17 668-85-79,svitlanadatsenko@example.net
Салій,Петро,Андрійович,чоловік,1983-01-19,Візажист,хутір Хоростків,"набережна Кострова, буд. 39, Вовчанськ, 64426",+380 39 064-63-90,larysa42@example.org
Гайдай,Ганна,Опанасівна,жінка,1989-02-01,Археолог,місто Синельникове,"узвіз Віри Холодної, буд. 3, Джанкой, 51715",+380 (59) 664-58-75,hanna46@example.com
Скопенко,Болеслав,Мартинович,чоловік,2003-10-21,Редактор,хутір Вовчанськ,"узвіз Шефська, буд. 3 кв. 14, Дебальцеве, 60654",+380 68 766-46-64,mbaida@example.org
Перебийніс,Софія,Несторівна,жінка,1983-04-24,Хореограф,село Алмазна,"вулиця Івасюка Володимира, буд. 454, Українка , 54666",045 432 94 62,bzasiadko@example.net
Жадан,Ольга,Ростиславівна,жінка,1945-09-11,Прокурор,місто Каховка,"площа Михайла Грушевського, буд. 977 кв. 1, Городня, 21187",+380 (01) 316-46-06,iakiv01@example.com
Христич,Розалія,Геннадіївна,жінка,2003-12-11,Лікар,місто Хотин,"набережна Заводська 5-та, буд. 750, Харків, 90468",+380 (96) 594-23-00,jlevchenko@example.org
Пелех,Ганна,Єфремівна,жінка,1979-02-27,Електромонтажник,хутір Скалат,"провулок Михайла Жванецького, буд. 19 кв. 9, Богодухів, 73176",088 642 72 18,parmen31@example.com
Гоголь-Яновський,Ірина,Лесівна,жінка,2008-07-17,Біолог,хутір Суходільськ,"шосе Куликове поле, буд. 666 кв. 845, Васильків, 88521",+380 72 066-48-94,hannaatamanchuk@example.com
